GroupName,AccountName,AccountType
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,ELON.MUSKKAT@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,ELON.MUSKKAT@CYBERSPACEKITTENS.LOCAL,user
SPACE@CYBERSPACEKITTENS.LOCAL,BUZZ.CLAWDRIN@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,BUZZ.CLAWDRIN@CYBERSPACEKITTENS.LOCAL,user
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,CSK-GITHUB@CYBERSPACEKITTENS.LOCAL,user
SPACE@CYBERSPACEKITTENS.LOCAL,KITTY.RIDE@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,KITTY.RIDE@CYBERSPACEKITTENS.LOCAL,user
LAB@CYBERSPACEKITTENS.LOCAL,PURRI.GAGARIN@CYBERSPACEKITTENS.LOCAL,user
SPACE@CYBERSPACEKITTENS.LOCAL,CHRIS.CATFIELD@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,CHRIS.CATFIELD@CYBERSPACEKITTENS.LOCAL,user
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,BUZZ.CYBERSPACEKITTENS.LOCAL,computer
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,KITTY.CYBERSPACEKITTENS.LOCAL,computer
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,NEIL.CYBERSPACEKITTENS.LOCAL,computer
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,CHRIS.CYBERSPACEKITTENS.LOCAL,computer
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,CSK-GITHUB.CYBERSPACEKITTENS.LOCAL,computer
DOMAIN COMPUTERS@CYBERSPACEKITTENS.LOCAL,CSK-LAB.CYBERSPACEKITTENS.LOCAL,computer
HELPDESK@CYBERSPACEKITTENS.LOCAL,PURRI.GAGARIN@CYBERSPACEKITTENS.LOCAL,user
DOMAIN USERS@CYBERSPACEKITTENS.LOCAL,PURRI.GAGARIN@CYBERSPACEKITTENS.LOCAL,user
